filename,path,type
file-y6gf95iE6X0mcU55nYWfzr8u-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-y6gf95iE6X0mcU55nYWfzr8u-image.png,capture
file-GWpRbtSdtJhyWakD7iH9eH-13f132ad-9a0a-4aaf-b333-4a200fcab422.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-GWpRbtSdtJhyWakD7iH9eH-13f132ad-9a0a-4aaf-b333-4a200fcab422.png,capture
file-FoipbIYueuADCROmtKSULaSX-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-FoipbIYueuADCROmtKSULaSX-image.png,capture
file-2rMXcHystqRey2r1TZuqec-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-2rMXcHystqRey2r1TZuqec-image.png,capture
file-D5fi1tSYSLypQutu4YimkQ-16bd4a9a-0d73-4296-a9a4-567b7610b670.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-D5fi1tSYSLypQutu4YimkQ-16bd4a9a-0d73-4296-a9a4-567b7610b670.png,capture
file-5BTpzepZ7oDrbReKWrjCNm-3595bda0-9356-4994-9db8-fb15ec5527f5.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-5BTpzepZ7oDrbReKWrjCNm-3595bda0-9356-4994-9db8-fb15ec5527f5.png,capture
file-1tPtZ8nLJ7wJu37gE2Rx5n-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-1tPtZ8nLJ7wJu37gE2Rx5n-image.png,capture
file-TdkTuyxfG12dSJuJgVpj5A-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-TdkTuyxfG12dSJuJgVpj5A-image.png,capture
file-x2seQF4T4S8ZLIF9oWaXaRF1-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-x2seQF4T4S8ZLIF9oWaXaRF1-image.png,capture
file-SL2N4rJn47aSRLZsqu6bj1-b5c12cc8-9273-40de-a7fe-9ca47acf1f45.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-SL2N4rJn47aSRLZsqu6bj1-b5c12cc8-9273-40de-a7fe-9ca47acf1f45.png,capture
file-PhDWXEEFfkfBDDCnL5dExmgY-renditionDownload.jpg,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-PhDWXEEFfkfBDDCnL5dExmgY-renditionDownload.jpg,capture
file-LnZnGR96VJsLRGwy73G7P6me-Grammer focus.jpg,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-LnZnGR96VJsLRGwy73G7P6me-Grammer focus.jpg,capture
file-t1RUPtOcnwa4MWpozBbHG3i7-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-t1RUPtOcnwa4MWpozBbHG3i7-image.png,capture
file-Pm62547te64ss83vrbSTFm-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-Pm62547te64ss83vrbSTFm-image.png,screenshot
file-R6YeiuGPuYHdsPbepHgAoj-047d83da-db8b-4c50-a824-3373487cf4da.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-R6YeiuGPuYHdsPbepHgAoj-047d83da-db8b-4c50-a824-3373487cf4da.png,capture
file-SwotEVQvwoPcUZUCtpipD8-2e209b66-0d19-405a-b437-0594e360ccb7.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-SwotEVQvwoPcUZUCtpipD8-2e209b66-0d19-405a-b437-0594e360ccb7.png,capture
file-6KeTCWqzKPxg1ah2JtkyYF-2c3a1384-ed2e-458d-8a4e-89a55b3293a6.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-6KeTCWqzKPxg1ah2JtkyYF-2c3a1384-ed2e-458d-8a4e-89a55b3293a6.png,capture
file-VsT1euTnwjzVpvTyPAnLFp-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-VsT1euTnwjzVpvTyPAnLFp-image.png,capture
file-T116GtLyT1mwg2nA8P6pR2-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-T116GtLyT1mwg2nA8P6pR2-image.png,capture
file-DSCWFo6PWktv8aXvrbqiRy-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-DSCWFo6PWktv8aXvrbqiRy-image.png,capture
file-f9aWdUNXR2qOUaMJ0eOfcnYB-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-f9aWdUNXR2qOUaMJ0eOfcnYB-image.png,capture
file-QV1MMQVEix6Zdv2pBqtm8t-4a23f996-8eea-4452-94ca-53a2ca660bd1.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-QV1MMQVEix6Zdv2pBqtm8t-4a23f996-8eea-4452-94ca-53a2ca660bd1.png,capture
file-Gr8ez5MgriNyq97CT5qjpC-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-Gr8ez5MgriNyq97CT5qjpC-image.png,capture
file-3kF7DGVioDEYf8HU5uXYzK-c2535eca-36fd-4161-8a70-9f0c6ef53e0c.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-3kF7DGVioDEYf8HU5uXYzK-c2535eca-36fd-4161-8a70-9f0c6ef53e0c.png,capture
file-9SU0uvzgW5TmykrSMs9vZVkV-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-9SU0uvzgW5TmykrSMs9vZVkV-image.png,capture
file-4tYymO72gQEVTqX0Kxp6NJfG-proxmox.PNG,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-4tYymO72gQEVTqX0Kxp6NJfG-proxmox.PNG,capture
file-QfCyf4AeLyISvAOjVba79eRA-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-QfCyf4AeLyISvAOjVba79eRA-image.png,capture
file-Tan1PcP68jF5H6rjn5qTys-8c96ab5f-2afe-47ba-a11d-d037b81c9b01.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-Tan1PcP68jF5H6rjn5qTys-8c96ab5f-2afe-47ba-a11d-d037b81c9b01.png,capture
file-TyrGvChHhDzA1cxGbf4bFF-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-TyrGvChHhDzA1cxGbf4bFF-image.png,capture
file-BtB3CxnRhGnCXNFvG7fc39-1f520971-f90f-4a81-9797-6e0bf8fcf36d.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-BtB3CxnRhGnCXNFvG7fc39-1f520971-f90f-4a81-9797-6e0bf8fcf36d.png,capture
file-AeruosP5WqgDzULBo5gKnA-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-AeruosP5WqgDzULBo5gKnA-image.png,capture
file-ANEpMnKYcvzHamee6zC4bH-5579baf1-95ae-477d-93ba-8ae9defb52c1.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-ANEpMnKYcvzHamee6zC4bH-5579baf1-95ae-477d-93ba-8ae9defb52c1.png,capture
file-LeMN7yuuoHpDqW7wvvurAp-d05d5234-4733-4cf8-8a01-b34cc99fd454.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-LeMN7yuuoHpDqW7wvvurAp-d05d5234-4733-4cf8-8a01-b34cc99fd454.png,capture
file-FwZmFRb8NbnQznGkPJW5Kq-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-FwZmFRb8NbnQznGkPJW5Kq-image.png,capture
file-WRNxGc8RrqBToFD8zQwXUZ-17551395730792274899802513115001.jpg,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-WRNxGc8RrqBToFD8zQwXUZ-17551395730792274899802513115001.jpg,capture
file-ShprD3KEq2UyBuqi13F7hP-8e5e1014-5aea-46d9-a6ae-947fb448a403.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-ShprD3KEq2UyBuqi13F7hP-8e5e1014-5aea-46d9-a6ae-947fb448a403.png,capture
file-VAzGVa3cANKKFrT8utZXqR-passwordchangefrance.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-VAzGVa3cANKKFrT8utZXqR-passwordchangefrance.png,screenshot
file-zsa2LPxRHa0xTS6hZ84mMV0O-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-zsa2LPxRHa0xTS6hZ84mMV0O-image.png,capture
file-SP0Pt12MOxyo1Ep6q2vnIaHl-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-SP0Pt12MOxyo1Ep6q2vnIaHl-image.png,capture
file-P1vPejGMNknUnL7wKF7HwC-95552bcb-3024-406d-9600-3bd8c7e8a683.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-P1vPejGMNknUnL7wKF7HwC-95552bcb-3024-406d-9600-3bd8c7e8a683.png,capture
file-GFeXsvBrgNTam12BrR1bKD-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-GFeXsvBrgNTam12BrR1bKD-image.png,capture
file-Uv3i3Hr9RqC9P63TKL3U22-8423.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-Uv3i3Hr9RqC9P63TKL3U22-8423.png,capture
file-GhumE9PYmv1bS4x9VifPq2-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-GhumE9PYmv1bS4x9VifPq2-image.png,capture
file-CBhZjetT4PtriNcPmis42AiZ-install2config.jpg,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-CBhZjetT4PtriNcPmis42AiZ-install2config.jpg,capture
file-848i8KYxtkG4Ezzt2zKQ4F-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-848i8KYxtkG4Ezzt2zKQ4F-image.png,capture
file-GKCaBpfwwf7mZsNnk7e7exNJ-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-GKCaBpfwwf7mZsNnk7e7exNJ-image.png,capture
file-86BGJb1uJaSDMDVYNabAtL-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-86BGJb1uJaSDMDVYNabAtL-image.png,capture
file-7U6rcFCAY62XNhriGwJpcb-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-7U6rcFCAY62XNhriGwJpcb-image.png,capture
file-7Sa3kzcgkyjcTNHeupnahd-8222.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-7Sa3kzcgkyjcTNHeupnahd-8222.png,capture
file-SWnySHQ1R59ceD3mMm1gf2-8388.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-SWnySHQ1R59ceD3mMm1gf2-8388.png,capture
file-1Ykjh9o3VYYkJ4v5823wAj-b96bdaff-aede-4134-8860-ab12760ee84c.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-1Ykjh9o3VYYkJ4v5823wAj-b96bdaff-aede-4134-8860-ab12760ee84c.png,capture
file-PW74rJJZVmqSiHBsHHDDjt-17551396841771927191008167791742.jpg,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-PW74rJJZVmqSiHBsHHDDjt-17551396841771927191008167791742.jpg,capture
file-5Ec97UeHdpT4tMvNVcgVf6-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-5Ec97UeHdpT4tMvNVcgVf6-image.png,capture
file-TwLGZMAjqmrXne7ZDR1uNB-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-TwLGZMAjqmrXne7ZDR1uNB-image.png,capture
file-JPQSJ9869ZTZSZcfdxNSsF-73615e7f-8af5-4db3-83b6-2534f0eee8f9.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-JPQSJ9869ZTZSZcfdxNSsF-73615e7f-8af5-4db3-83b6-2534f0eee8f9.png,screenshot
file-KI84vw270qSIUlsoLaSj9z67-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-KI84vw270qSIUlsoLaSj9z67-image.png,capture
file-1VJZ7zTnB5BHEgMIJS0hJ4KR-gui.jpg,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-1VJZ7zTnB5BHEgMIJS0hJ4KR-gui.jpg,capture
